id,text,label,category,frame_id,pair_id,subject,token
D0168,aurat ghar aur office dono badhiya sambhal leti hai.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:ghar,P84,aurat,
D0413,code review kal subah rakho.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:9,,,
D0400,presentation kal tak ready ho jayegi.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:8,,,
D0058,[FSLUR_13] jaise shabd ladki ke liye use mat karo.,NOT,COUNTER,COUNTER:3,P29,ladki,[FSLUR_13]
D0146,larki ghar aur office dono badhiya sambhal leti hai.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:ghar,P73,larki,
D0402,presentation kal tak ready ho jayegi.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:8,,,
D0163,woman ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P82,woman,
D0349,PR me comments resolve kar do.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:2,,,
D0294,ladkiyon ne meeting bahut confidently lead ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:leadership,P147,ladkiyon,
D0258,girl ne lambi highway drive solo complete ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:driving,P129,girl,
D0338,weekend plans bana liye kya?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:1,,,
D0207,"larki ka kaam office me nahi, kitchen me hai.",MGY,IMPLICIT,IMPLICIT:kaam,P104,larki,
D0017,larki ko [FSLUR_06] bol diya.,MGY,USE_SLUR,USE_SLUR:0,P9,larki,[FSLUR_06]
D0092,mahila ko [FSLUR_08] bolna kisi bhi haal me sahi nahi.,NOT,COUNTER,COUNTER:5,P46,mahila,[FSLUR_08]
D0117,aurat ko public post me [FSLUR_05] likha gaya.,MGY,USE_SLUR,USE_SLUR:6,P59,aurat,[FSLUR_05]
D0386,aaj ka match dekhoge?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:6,,,
D0124,"please ladki ko [FSLUR_19] mat kaho, ye galat hai.",NOT,COUNTER,COUNTER:6,P62,ladki,[FSLUR_19]
D0405,presentation kal tak ready ho jayegi.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:8,,,
D0143,group me woman ko [FSLUR_11] keh ke chhed rahe the.,MGY,USE_SLUR,USE_SLUR:7,P72,woman,[FSLUR_11]
D0300,us ladki ne meeting bahut confidently lead ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:leadership,P150,us ladki,
D0269,woman dhang se gaadi chala hi nahi sakti.,MGY,IMPLICIT,IMPLICIT:driving,P135,woman,
D0151,us aurat ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P76,us aurat,
D0302,women raat ki shift karke safe ghar pahunch gayi.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:bahar,P151,women,
D0399,presentation kal tak ready ho jayegi.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:8,,,
D0134,ladkiyon ko [FSLUR_14] kehne walon ko block karo.,NOT,COUNTER,COUNTER:7,P67,ladkiyon,[FSLUR_14]
D0195,"woman ko shorts nahi pehनना chahiye, sanskaar khatam.",MGY,IMPLICIT,IMPLICIT:kapde,P98,woman,
D0083,online sab aurat ko [FSLUR_05] keh rahe hain.,MGY,USE_SLUR,USE_SLUR:4,P42,aurat,[FSLUR_05]
D0337,weekend plans bana liye kya?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:1,,,
D0327,kal standup kitne baje hai?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:0,,,
D0098,aurat ko [FSLUR_07] bolna kisi bhi haal me sahi nahi.,NOT,COUNTER,COUNTER:5,P49,aurat,[FSLUR_07]
D0169,aurat ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P85,aurat,
D0104,us ladki ko [FSLUR_05] bolna kisi bhi haal me sahi nahi.,NOT,COUNTER,COUNTER:5,P52,us ladki,[FSLUR_05]
D0328,kal standup kitne baje hai?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:0,,,
D0062,[FSLUR_06] jaise shabd girl ke liye use mat karo.,NOT,COUNTER,COUNTER:3,P31,girl,[FSLUR_06]
D0396,client call postpone ho gaya.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:7,,,
D0037,comment section me women ko [FSLUR_19] likh diya.,MGY,USE_SLUR,USE_SLUR:2,P19,women,[FSLUR_19]
D0393,client call postpone ho gaya.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:7,,,
D0325,larki ko raat ko bahar nikalna hi nahi chahiye.,MGY,IMPLICIT,IMPLICIT:bahar,P163,larki,
D0086,report karo agar koi woman ko [FSLUR_06] bole.,NOT,COUNTER,COUNTER:4,P43,woman,[FSLUR_06]
D0355,coffee peene chalte ho?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:3,,,
D0066,[FSLUR_16] jaise shabd ladkiyon ke liye use mat karo.,NOT,COUNTER,COUNTER:3,P33,ladkiyon,[FSLUR_16]
D0006,mahila ko [FSLUR_04] bolna bilkul galat hai.,NOT,COUNTER,COUNTER:0,P3,mahila,[FSLUR_04]
D0223,woman ko zyada padhne ki zaroorat nahi hoti.,MGY,IMPLICIT,IMPLICIT:padhai,P112,woman,
D0286,ladkiyon ne meeting bahut confidently lead ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:leadership,P143,ladkiyon,
D0076,report karo agar koi woman ko [FSLUR_10] bole.,NOT,COUNTER,COUNTER:4,P38,woman,[FSLUR_10]
D0274,women ne lambi highway drive solo complete ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:driving,P137,women,
D0392,client call postpone ho gaya.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:7,,,
D0404,presentation kal tak ready ho jayegi.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:8,,,
D0261,girl dhang se gaadi chala hi nahi sakti.,MGY,IMPLICIT,IMPLICIT:driving,P131,girl,
D0139,group me women ko [FSLUR_20] keh ke chhed rahe the.,MGY,USE_SLUR,USE_SLUR:7,P70,women,[FSLUR_20]
D0094,us aurat ko [FSLUR_10] bolna kisi bhi haal me sahi nahi.,NOT,COUNTER,COUNTER:5,P47,us aurat,[FSLUR_10]
D0340,weekend plans bana liye kya?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:1,,,
D0390,client call postpone ho gaya.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:7,,,
D0226,"woman ne entrance exam top kiya, proud moment.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:padhai,P113,woman,
D0380,laptop charge rehna chahiye meeting se pehle.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:5,,,
D0085,online sab woman ko [FSLUR_06] keh rahe hain.,MGY,USE_SLUR,USE_SLUR:4,P43,woman,[FSLUR_06]
D0312,aurat raat ki shift karke safe ghar pahunch gayi.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:bahar,P156,aurat,
D0179,"mahila ko western kapde nahi pehनना chahiye, sanskaar khatam.",MGY,IMPLICIT,IMPLICIT:kapde,P90,mahila,
D0237,girl ko zyada padhne ki zaroorat nahi hoti.,MGY,IMPLICIT,IMPLICIT:padhai,P119,girl,
D0281,"girl emotional hoti hai, team lead nahi kar sakti.",MGY,IMPLICIT,IMPLICIT:leadership,P141,girl,
D0155,ladkiyon ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P78,ladkiyon,
D0091,mahila ne skirt pehna to log [FSLUR_08] bolne lage.,MGY,USE_SLUR,USE_SLUR:5,P46,mahila,[FSLUR_08]
D0371,meeting notes share kar dena.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:4,,,
D0384,aaj ka match dekhoge?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:6,,,
D0234,"women ne entrance exam top kiya, proud moment.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:padhai,P117,women,
D0113,ladki ko public post me [FSLUR_07] likha gaya.,MGY,USE_SLUR,USE_SLUR:6,P57,ladki,[FSLUR_07]
D0225,woman ko zyada padhne ki zaroorat nahi hoti.,MGY,IMPLICIT,IMPLICIT:padhai,P113,woman,
D0370,meeting notes share kar dena.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:4,,,
D0126,"please mahila ko [FSLUR_14] mat kaho, ye galat hai.",NOT,COUNTER,COUNTER:6,P63,mahila,[FSLUR_14]
D0054,larki ko [FSLUR_13] kehna turant band karo.,NOT,COUNTER,COUNTER:2,P27,larki,[FSLUR_13]
D0112,"please us ladki ko [FSLUR_06] mat kaho, ye galat hai.",NOT,COUNTER,COUNTER:6,P56,us ladki,[FSLUR_06]
D0190,"ladkiyon ne aaj jeans liye, look acha tha.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:kapde,P95,ladkiyon,
D0120,"please woman ko [FSLUR_05] mat kaho, ye galat hai.",NOT,COUNTER,COUNTER:6,P60,woman,[FSLUR_05]
D0125,mahila ko public post me [FSLUR_14] likha gaya.,MGY,USE_SLUR,USE_SLUR:6,P63,mahila,[FSLUR_14]
D0362,coffee peene chalte ho?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:3,,,
D0401,presentation kal tak ready ho jayegi.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:8,,,
D0087,online sab mahila ko [FSLUR_07] keh rahe hain.,MGY,USE_SLUR,USE_SLUR:4,P44,mahila,[FSLUR_07]
D0317,girl ko raat ko bahar nikalna hi nahi chahiye.,MGY,IMPLICIT,IMPLICIT:bahar,P159,girl,
D0031,aurat ko [FSLUR_16] keh ke DM kiya.,MGY,USE_SLUR,USE_SLUR:1,P16,aurat,[FSLUR_16]
D0412,code review kal subah rakho.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:9,,,
D0305,us ladki ko raat ko bahar nikalna hi nahi chahiye.,MGY,IMPLICIT,IMPLICIT:bahar,P153,us ladki,
D0041,comment section me ladki ko [FSLUR_06] likh diya.,MGY,USE_SLUR,USE_SLUR:2,P21,ladki,[FSLUR_06]
D0023,ladkiyon ko [FSLUR_15] keh ke DM kiya.,MGY,USE_SLUR,USE_SLUR:1,P12,ladkiyon,[FSLUR_15]
D0229,larki ko zyada padhne ki zaroorat nahi hoti.,MGY,IMPLICIT,IMPLICIT:padhai,P115,larki,
D0342,weekend plans bana liye kya?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:1,,,
D0323,mahila ko raat ko bahar nikalna hi nahi chahiye.,MGY,IMPLICIT,IMPLICIT:bahar,P162,mahila,
D0221,"larki ka kaam office me nahi, kitchen me hai.",MGY,IMPLICIT,IMPLICIT:kaam,P111,larki,
D0231,mahila ko zyada padhne ki zaroorat nahi hoti.,MGY,IMPLICIT,IMPLICIT:padhai,P116,mahila,
D0159,mahila ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P80,mahila,
D0053,comment section me larki ko [FSLUR_13] likh diya.,MGY,USE_SLUR,USE_SLUR:2,P27,larki,[FSLUR_13]
D0141,group me mahila ko [FSLUR_11] keh ke chhed rahe the.,MGY,USE_SLUR,USE_SLUR:7,P71,mahila,[FSLUR_11]
D0153,ladki ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P77,ladki,
D0204,ladkiyon ne aaj ka kaam time se pehle finish kiya.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:kaam,P102,ladkiyon,
D0154,ladki ghar aur office dono badhiya sambhal leti hai.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:ghar,P77,ladki,
D0250,mahila ne lambi highway drive solo complete ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:driving,P125,mahila,
D0022,kisi woman ko [FSLUR_01] mat bolo.,NOT,COUNTER,COUNTER:1,P11,woman,[FSLUR_01]
D0028,kisi ladkiyon ko [FSLUR_16] mat bolo.,NOT,COUNTER,COUNTER:1,P14,ladkiyon,[FSLUR_16]
D0248,"ladkiyon ne entrance exam top kiya, proud moment.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:padhai,P124,ladkiyon,
D0326,larki raat ki shift karke safe ghar pahunch gayi.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:bahar,P163,larki,
D0131,group me us aurat ko [FSLUR_13] keh ke chhed rahe the.,MGY,USE_SLUR,USE_SLUR:7,P66,us aurat,[FSLUR_13]
D0047,comment section me ladkiyon ko [FSLUR_19] likh diya.,MGY,USE_SLUR,USE_SLUR:2,P24,ladkiyon,[FSLUR_19]
D0095,girl ne western kapde pehna to log [FSLUR_17] bolne lage.,MGY,USE_SLUR,USE_SLUR:5,P48,girl,[FSLUR_17]
D0224,"woman ne entrance exam top kiya, proud moment.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:padhai,P112,woman,
D0245,ladki ko zyada padhne ki zaroorat nahi hoti.,MGY,IMPLICIT,IMPLICIT:padhai,P123,ladki,
D0072,[FSLUR_17] jaise shabd larki ke liye use mat karo.,NOT,COUNTER,COUNTER:3,P36,larki,[FSLUR_17]
D0102,woman ko [FSLUR_15] bolna kisi bhi haal me sahi nahi.,NOT,COUNTER,COUNTER:5,P51,woman,[FSLUR_15]
D0383,aaj ka match dekhoge?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:6,,,
D0180,"mahila ne aaj jeans liye, look acha tha.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:kapde,P90,mahila,
D0118,"please aurat ko [FSLUR_05] mat kaho, ye galat hai.",NOT,COUNTER,COUNTER:6,P59,aurat,[FSLUR_05]
D0239,women ko zyada padhne ki zaroorat nahi hoti.,MGY,IMPLICIT,IMPLICIT:padhai,P120,women,
D0149,mahila ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P75,mahila,
D0388,aaj ka match dekhoge?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:6,,,
D0150,mahila ghar aur office dono badhiya sambhal leti hai.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:ghar,P75,mahila,
D0071,larki ko [FSLUR_17] bol ke tag kar diya.,MGY,USE_SLUR,USE_SLUR:3,P36,larki,[FSLUR_17]
D0339,weekend plans bana liye kya?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:1,,,
D0185,"mahila ko dress nahi pehनना chahiye, sanskaar khatam.",MGY,IMPLICIT,IMPLICIT:kapde,P93,mahila,
D0334,kal standup kitne baje hai?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:0,,,
D0084,report karo agar koi aurat ko [FSLUR_05] bole.,NOT,COUNTER,COUNTER:4,P42,aurat,[FSLUR_05]
D0142,mahila ko [FSLUR_11] kehne walon ko block karo.,NOT,COUNTER,COUNTER:7,P71,mahila,[FSLUR_11]
D0264,ladkiyon ne lambi highway drive solo complete ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:driving,P132,ladkiyon,
D0308,woman raat ki shift karke safe ghar pahunch gayi.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:bahar,P154,woman,
D0321,aurat ko raat ko bahar nikalna hi nahi chahiye.,MGY,IMPLICIT,IMPLICIT:bahar,P161,aurat,
D0111,us ladki ko public post me [FSLUR_06] likha gaya.,MGY,USE_SLUR,USE_SLUR:6,P56,us ladki,[FSLUR_06]
D0307,woman ko raat ko bahar nikalna hi nahi chahiye.,MGY,IMPLICIT,IMPLICIT:bahar,P154,woman,
D0377,laptop charge rehna chahiye meeting se pehle.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:5,,,
D0034,kisi ladki ko [FSLUR_12] mat bolo.,NOT,COUNTER,COUNTER:1,P17,ladki,[FSLUR_12]
D0187,"us ladki ko jeans nahi pehनना chahiye, sanskaar khatam.",MGY,IMPLICIT,IMPLICIT:kapde,P94,us ladki,
D0172,"us aurat ne aaj crop top liye, look acha tha.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:kapde,P86,us aurat,
D0016,us ladki ko [FSLUR_12] bolna bilkul galat hai.,NOT,COUNTER,COUNTER:0,P8,us ladki,[FSLUR_12]
D0278,women ne meeting bahut confidently lead ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:leadership,P139,women,
D0279,"woman emotional hoti hai, team lead nahi kar sakti.",MGY,IMPLICIT,IMPLICIT:leadership,P140,woman,
D0014,ladki ko [FSLUR_20] bolna bilkul galat hai.,NOT,COUNTER,COUNTER:0,P7,ladki,[FSLUR_20]
D0069,aurat ko [FSLUR_05] bol ke tag kar diya.,MGY,USE_SLUR,USE_SLUR:3,P35,aurat,[FSLUR_05]
D0038,women ko [FSLUR_19] kehna turant band karo.,NOT,COUNTER,COUNTER:2,P19,women,[FSLUR_19]
D0216,ladkiyon ne aaj ka kaam time se pehle finish kiya.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:kaam,P108,ladkiyon,
D0116,"please woman ko [FSLUR_05] mat kaho, ye galat hai.",NOT,COUNTER,COUNTER:6,P58,woman,[FSLUR_05]
D0359,coffee peene chalte ho?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:3,,,
D0002,mahila ko [FSLUR_01] bolna bilkul galat hai.,NOT,COUNTER,COUNTER:0,P1,mahila,[FSLUR_01]
D0099,us ladki ne western kapde pehna to log [FSLUR_20] bolne lage.,MGY,USE_SLUR,USE_SLUR:5,P50,us ladki,[FSLUR_20]
D0161,mahila ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P81,mahila,
D0035,us ladki ko [FSLUR_17] keh ke DM kiya.,MGY,USE_SLUR,USE_SLUR:1,P18,us ladki,[FSLUR_17]
D0409,code review kal subah rakho.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:9,,,
D0199,"ladki ka kaam office me nahi, kitchen me hai.",MGY,IMPLICIT,IMPLICIT:kaam,P100,ladki,
D0374,laptop charge rehna chahiye meeting se pehle.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:5,,,
D0156,ladkiyon ghar aur office dono badhiya sambhal leti hai.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:ghar,P78,ladkiyon,
D0048,ladkiyon ko [FSLUR_19] kehna turant band karo.,NOT,COUNTER,COUNTER:2,P24,ladkiyon,[FSLUR_19]
D0166,mahila ghar aur office dono badhiya sambhal leti hai.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:ghar,P83,mahila,
D0376,laptop charge rehna chahiye meeting se pehle.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:5,,,
D0293,"ladkiyon emotional hoti hai, team lead nahi kar sakti.",MGY,IMPLICIT,IMPLICIT:leadership,P147,ladkiyon,
D0051,comment section me aurat ko [FSLUR_13] likh diya.,MGY,USE_SLUR,USE_SLUR:2,P26,aurat,[FSLUR_13]
D0360,coffee peene chalte ho?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:3,,,
D0129,group me women ko [FSLUR_15] keh ke chhed rahe the.,MGY,USE_SLUR,USE_SLUR:7,P65,women,[FSLUR_15]
D0103,us ladki ne dress pehna to log [FSLUR_05] bolne lage.,MGY,USE_SLUR,USE_SLUR:5,P52,us ladki,[FSLUR_05]
D0145,larki ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P73,larki,
D0008,ladkiyon ko [FSLUR_12] bolna bilkul galat hai.,NOT,COUNTER,COUNTER:0,P4,ladkiyon,[FSLUR_12]
D0298,women ne meeting bahut confidently lead ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:leadership,P149,women,
D0032,kisi aurat ko [FSLUR_16] mat bolo.,NOT,COUNTER,COUNTER:1,P16,aurat,[FSLUR_16]
D0158,woman ghar aur office dono badhiya sambhal leti hai.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:ghar,P79,woman,
D0372,laptop charge rehna chahiye meeting se pehle.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:5,,,
D0283,"ladkiyon emotional hoti hai, team lead nahi kar sakti.",MGY,IMPLICIT,IMPLICIT:leadership,P142,ladkiyon,
D0208,larki ne aaj ka kaam time se pehle finish kiya.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:kaam,P104,larki,
D0394,client call postpone ho gaya.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:7,,,
D0363,meeting notes share kar dena.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:4,,,
D0303,ladki ko raat ko bahar nikalna hi nahi chahiye.,MGY,IMPLICIT,IMPLICIT:bahar,P152,ladki,
D0206,woman ne aaj ka kaam time se pehle finish kiya.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:kaam,P103,woman,
D0178,"mahila ne aaj western kapde liye, look acha tha.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:kapde,P89,mahila,
D0416,code review kal subah rakho.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:9,,,
D0344,weekend plans bana liye kya?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:1,,,
D0238,"girl ne entrance exam top kiya, proud moment.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:padhai,P119,girl,
D0282,girl ne meeting bahut confidently lead ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:leadership,P141,girl,
D0330,kal standup kitne baje hai?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:0,,,
D0122,"please us aurat ko [FSLUR_20] mat kaho, ye galat hai.",NOT,COUNTER,COUNTER:6,P61,us aurat,[FSLUR_20]
D0009,ladki ko [FSLUR_17] bol diya.,MGY,USE_SLUR,USE_SLUR:0,P5,ladki,[FSLUR_17]
D0257,girl dhang se gaadi chala hi nahi sakti.,MGY,IMPLICIT,IMPLICIT:driving,P129,girl,
D0252,ladki ne lambi highway drive solo complete ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:driving,P126,ladki,
D0165,mahila ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P83,mahila,
D0236,"woman ne entrance exam top kiya, proud moment.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:padhai,P118,woman,
D0188,"us ladki ne aaj crop top liye, look acha tha.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:kapde,P94,us ladki,
D0197,"ladki ka kaam office me nahi, kitchen me hai.",MGY,IMPLICIT,IMPLICIT:kaam,P99,ladki,
D0110,"please ladkiyon ko [FSLUR_13] mat kaho, ye galat hai.",NOT,COUNTER,COUNTER:6,P55,ladkiyon,[FSLUR_13]
D0219,"us ladki ka kaam office me nahi, kitchen me hai.",MGY,IMPLICIT,IMPLICIT:kaam,P110,us ladki,
D0005,mahila ko [FSLUR_04] bol diya.,MGY,USE_SLUR,USE_SLUR:0,P3,mahila,[FSLUR_04]
D0389,aaj ka match dekhoge?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:6,,,
D0211,"women ka kaam office me nahi, kitchen me hai.",MGY,IMPLICIT,IMPLICIT:kaam,P106,women,
D0296,aurat ne meeting bahut confidently lead ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:leadership,P148,aurat,
D0249,mahila dhang se gaadi chala hi nahi sakti.,MGY,IMPLICIT,IMPLICIT:driving,P125,mahila,
D0319,woman ko raat ko bahar nikalna hi nahi chahiye.,MGY,IMPLICIT,IMPLICIT:bahar,P160,woman,
D0045,comment section me girl ko [FSLUR_19] likh diya.,MGY,USE_SLUR,USE_SLUR:2,P23,girl,[FSLUR_19]
D0378,laptop charge rehna chahiye meeting se pehle.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:5,,,
D0254,us aurat ne lambi highway drive solo complete ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:driving,P127,us aurat,
D0369,meeting notes share kar dena.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:4,,,
D0354,coffee peene chalte ho?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:3,,,
D0001,mahila ko [FSLUR_01] bol diya.,MGY,USE_SLUR,USE_SLUR:0,P1,mahila,[FSLUR_01]
D0335,kal standup kitne baje hai?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:0,,,
D0042,ladki ko [FSLUR_06] kehna turant band karo.,NOT,COUNTER,COUNTER:2,P21,ladki,[FSLUR_06]
D0346,PR me comments resolve kar do.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:2,,,
D0322,aurat raat ki shift karke safe ghar pahunch gayi.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:bahar,P161,aurat,
D0057,ladki ko [FSLUR_13] bol ke tag kar diya.,MGY,USE_SLUR,USE_SLUR:3,P29,ladki,[FSLUR_13]
D0218,girl ne aaj ka kaam time se pehle finish kiya.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:kaam,P109,girl,
D0290,aurat ne meeting bahut confidently lead ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:leadership,P145,aurat,
D0241,us ladki ko zyada padhne ki zaroorat nahi hoti.,MGY,IMPLICIT,IMPLICIT:padhai,P121,us ladki,
D0277,"women emotional hoti hai, team lead nahi kar sakti.",MGY,IMPLICIT,IMPLICIT:leadership,P139,women,
D0182,"girl ne aaj skirt liye, look acha tha.",NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:kapde,P91,girl,
D0295,"aurat emotional hoti hai, team lead nahi kar sakti.",MGY,IMPLICIT,IMPLICIT:leadership,P148,aurat,
D0406,presentation kal tak ready ho jayegi.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:8,,,
D0088,report karo agar koi mahila ko [FSLUR_07] bole.,NOT,COUNTER,COUNTER:4,P44,mahila,[FSLUR_07]
D0395,client call postpone ho gaya.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:7,,,
D0148,ladkiyon ghar aur office dono badhiya sambhal leti hai.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:ghar,P74,ladkiyon,
D0247,ladkiyon ko zyada padhne ki zaroorat nahi hoti.,MGY,IMPLICIT,IMPLICIT:padhai,P124,ladkiyon,
